fy,revenue,cogs,sga,operating_income,interest_expense,pretax_income,tax_expense,net_income,total_assets,total_liabilities,total_equity,cash,receivables,inventory,payables,ppe_net,capex,da,current_assets,current_liabilities,long_term_debt,short_term_debt,dividends
2006,,,,,,,,,,,,1651000000,,,,,,,,,,,
2007,39474000000.0,18038000000.0,14196000000.0,7182000000.0,224000000.0,7643000000.0,1973000000.0,5658000000.0,,,17296000000.0,910000000,,,,,2430000000.0,1426000000.0,,,,,2204000000.0
2008,43251000000.0,20351000000.0,15877000000.0,6959000000.0,329000000.0,7045000000.0,1879000000.0,5142000000.0,35994000000.0,23412000000.0,12582000000.0,2064000000,4683000000.0,2522000000.0,,11663000000.0,2446000000.0,1543000000.0,10806000000.0,8787000000.0,7858000000.0,369000000.0,2541000000.0
2009,43232000000.0,20099000000.0,15026000000.0,8044000000.0,397000000.0,8079000000.0,2100000000.0,5946000000.0,39848000000.0,22406000000.0,17442000000.0,3943000000,4624000000.0,2618000000.0,2881000000.0,12671000000.0,2128000000.0,1635000000.0,12571000000.0,8756000000.0,7400000000.0,102000000.0,2732000000.0
2010,57838000000.0,26575000000.0,22814000000.0,8332000000.0,903000000.0,8232000000.0,1894000000.0,6320000000.0,68153000000.0,46677000000.0,21476000000.0,5943000000,6323000000.0,3372000000.0,3865000000.0,19058000000.0,3253000000.0,2327000000.0,17569000000.0,15892000000.0,19999000000.0,113000000.0,2978000000.0
2011,66504000000.0,31593000000.0,25145000000.0,9633000000.0,856000000.0,8834000000.0,2372000000.0,6443000000.0,72882000000.0,51983000000.0,20899000000.0,4067000000,6912000000.0,3827000000.0,4083000000.0,19698000000.0,3339000000.0,2737000000.0,17441000000.0,18154000000.0,20568000000.0,6205000000.0,3157000000.0
2012,65492000000.0,31291000000.0,24970000000.0,9112000000.0,899000000.0,8304000000.0,2090000000.0,6178000000.0,74638000000.0,52239000000.0,22399000000.0,6297000000,7041000000.0,3581000000.0,4451000000.0,19136000000.0,2714000000.0,2689000000.0,18720000000.0,17089000000.0,23544000000.0,4815000000.0,3305000000.0
2013,66415000000.0,31243000000.0,25357000000.0,9705000000.0,911000000.0,8891000000.0,2104000000.0,6740000000.0,77478000000.0,53089000000.0,24389000000.0,9375000000,6954000000.0,3409000000.0,4874000000.0,18575000000.0,2795000000.0,2663000000.0,22203000000.0,17839000000.0,24333000000.0,5306000000.0,3434000000.0
2014,66683000000.0,31238000000.0,25772000000.0,9581000000.0,909000000.0,8757000000.0,2199000000.0,6513000000.0,70509000000.0,52961000000.0,17548000000.0,6134000000,6651000000.0,3143000000.0,5127000000.0,17244000000.0,2859000000.0,2625000000.0,20663000000.0,18092000000.0,23821000000.0,2200000000.0,3730000000.0
2015,63056000000.0,28731000000.0,24613000000.0,8353000000.0,970000000.0,7442000000.0,1941000000.0,5452000000.0,69667000000.0,57637000000.0,12030000000.0,9096000000,6437000000.0,2720000000.0,5546000000.0,16317000000.0,2758000000.0,2416000000.0,23031000000.0,17578000000.0,29213000000.0,4071000000.0,4040000000.0
2016,62799000000.0,28222000000.0,24773000000.0,9804000000.0,1342000000.0,8553000000.0,2174000000.0,6329000000.0,73490000000.0,62291000000.0,11199000000.0,9158000000,6694000000.0,2723000000.0,6158000000.0,16591000000.0,3040000000.0,2368000000.0,26450000000.0,21135000000.0,30053000000.0,6892000000.0,4227000000.0
2017,63525000000.0,28796000000.0,24453000000.0,10276000000.0,1151000000.0,9602000000.0,4694000000.0,4857000000.0,79804000000.0,68823000000.0,10981000000.0,10610000000,7024000000.0,2947000000.0,6727000000.0,17240000000.0,2969000000.0,2369000000.0,31027000000.0,20502000000.0,33796000000.0,5485000000.0,4472000000.0
2018,64661000000.0,29381000000.0,25170000000.0,10110000000.0,1219000000.0,9189000000.0,-3370000000.0,12515000000.0,77648000000.0,63046000000.0,14602000000.0,8721000000,7142000000.0,3128000000.0,7213000000.0,17589000000.0,3282000000.0,2399000000.0,21893000000.0,22138000000.0,28295000000.0,4026000000.0,4930000000.0
2019,67161000000.0,30132000000.0,26738000000.0,10291000000.0,935000000.0,9312000000.0,1959000000.0,7314000000.0,78547000000.0,63679000000.0,14868000000.0,5509000000,7822000000.0,3338000000.0,8013000000.0,19305000000.0,4232000000.0,2432000000.0,17645000000.0,20461000000.0,29148000000.0,2920000000.0,5304000000.0
2020,70372000000.0,31797000000.0,28453000000.0,10080000000.0,1128000000.0,9069000000.0,1894000000.0,7120000000.0,92918000000.0,79366000000.0,13552000000.0,8185000000,8404000000.0,4172000000.0,8853000000.0,21369000000.0,4240000000.0,2548000000.0,23001000000.0,23372000000.0,40370000000.0,3780000000.0,5509000000.0
2021,79474000000.0,37075000000.0,31237000000.0,11162000000.0,1863000000.0,9821000000.0,2142000000.0,7618000000.0,92377000000.0,76226000000.0,16151000000.0,5596000000,8680000000.0,4347000000.0,9834000000.0,22407000000.0,4625000000.0,2710000000.0,21783000000.0,26220000000.0,36026000000.0,4308000000.0,5815000000.0
2022,86392000000.0,40576000000.0,34459000000.0,11512000000.0,939000000.0,10705000000.0,1727000000.0,8910000000.0,92187000000.0,74914000000.0,17273000000.0,4954000000,10163000000.0,5222000000.0,10732000000.0,24291000000.0,5207000000.0,2763000000.0,21539000000.0,26785000000.0,35657000000.0,3414000000.0,6172000000.0
2023,91471000000.0,41881000000.0,36677000000.0,11986000000.0,819000000.0,11417000000.0,2262000000.0,9074000000.0,100495000000.0,81858000000.0,18637000000.0,9711000000,10815000000.0,5334000000.0,11635000000.0,27039000000.0,5518000000.0,2948000000.0,26950000000.0,31647000000.0,37595000000.0,6510000000.0,6682000000.0
2024,91854000000.0,41744000000.0,37190000000.0,12887000000.0,919000000.0,11946000000.0,2320000000.0,9578000000.0,99467000000.0,81296000000.0,18171000000.0,8505000000,10333000000.0,5306000000.0,10997000000.0,28008000000.0,5318000000.0,3160000000.0,25826000000.0,31536000000.0,37224000000.0,7082000000.0,7229000000.0
2025,93925000000.0,43066000000.0,37368000000.0,11498000000.0,1121000000.0,10244000000.0,1949000000.0,8240000000.0,107399000000.0,86852000000.0,20547000000.0,9159000000,11506000000.0,5845000000.0,11704000000.0,29905000000.0,4415000000.0,3451000000.0,27949000000.0,32764000000.0,42321000000.0,6861000000.0,7638000000.0
